y_real,y_pred
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[9.9993205e-01 3.3602846e-05 3.4380992e-05]
 [9.9678040e-01 1.3739462e-03 1.8455446e-03]
 [9.9983466e-01 1.1892480e-04 4.6396959e-05]
 [9.9994206e-01 1.0273121e-05 4.7651200e-05]
 [9.9913043e-01 5.0988456e-04 3.5973132e-04]
 [9.9999833e-01 5.7134287e-07 1.0188766e-06]
 [9.9999678e-01 5.1254881e-07 2.7560807e-06]
 [9.9968719e-01 2.7250531e-04 4.0303741e-05]
 [9.9953783e-01 5.2812766e-07 4.6167232e-04]
 [9.9998558e-01 6.1131000e-06 8.3429895e-06]
 [9.9910116e-01 7.8694505e-04 1.1200813e-04]
 [9.9998319e-01 6.2886070e-06 1.0445115e-05]
 [9.9911290e-01 2.1374393e-04 6.7325030e-04]
 [1.1911200e-03 4.0101373e-04 9.9840790e-01]
 [9.9973601e-01 4.6888777e-05 2.1718793e-04]
 [6.3536978e-01 3.1863451e-01 4.5995712e-02]
 [7.8863031e-01 5.6737296e-02 1.5463237e-01]
 [9.9994612e-01 4.4936845e-05 8.9424057e-06]
 [9.9990523e-01 2.5758716e-05 6.9067741e-05]
 [9.9779165e-01 2.0209220e-03 1.8751121e-04]
 [9.9755412e-01 2.2511282e-03 1.9479707e-04]
 [9.9995828e-01 2.2434855e-05 1.9353025e-05]
 [9.9991643e-01 3.6550919e-05 4.6938763e-05]
 [9.9678314e-01 2.0098525e-04 3.0158886e-03]
 [2.1090177e-01 4.8757631e-01 3.0152202e-01]
 [9.9997854e-01 4.7606263e-06 1.6638167e-05]
 [9.9998713e-01 2.6275725e-07 1.2669135e-05]
 [9.9966705e-01 2.1063582e-04 1.2221806e-04]
 [9.9998629e-01 8.8150802e-07 1.2816043e-05]
 [9.9997592e-01 6.1779906e-06 1.7840466e-05]
 [2.4106543e-01 6.4756733e-01 1.1136722e-01]
 [9.9999869e-01 1.0944697e-07 1.1331932e-06]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[9.9952853e-01 2.5378122e-06 4.6903058e-04]
 [9.9953830e-01 3.7089171e-06 4.5798343e-04]
 [9.9992335e-01 1.9594178e-05 5.7100646e-05]
 [9.9943990e-01 5.0240784e-04 5.7653084e-05]
 [9.7564834e-01 2.3558481e-02 7.9326186e-04]
 [5.1468359e-03 2.4442931e-01 7.5042379e-01]
 [1.9956503e-02 5.3934973e-01 4.4069377e-01]
 [9.9769980e-01 1.4791438e-04 2.1522555e-03]
 [9.9999833e-01 3.1873131e-07 1.3121844e-06]
 [9.9951696e-01 7.1058821e-05 4.1200890e-04]
 [9.9903107e-01 4.7985344e-05 9.2096993e-04]
 [9.2188931e-01 2.0067358e-02 5.8043364e-02]
 [9.9998975e-01 3.2389682e-06 7.0630299e-06]
 [6.6483545e-01 3.3286992e-01 2.2945725e-03]
 [9.9969113e-01 8.5287829e-06 3.0030613e-04]
 [9.9997962e-01 8.4657258e-06 1.1978275e-05]
 [9.9128410e-02 3.9779730e-02 8.6109185e-01]
 [9.9997890e-01 3.8573703e-06 1.7259812e-05]
 [9.9999213e-01 1.9879137e-06 5.8774808e-06]
 [9.9992025e-01 1.5684878e-05 6.4017469e-05]
 [9.9999368e-01 2.7585045e-06 3.5917001e-06]
 [9.9967325e-01 1.8596284e-06 3.2488588e-04]
 [9.9990058e-01 4.1606036e-05 5.7828092e-05]
 [9.9999952e-01 1.6753697e-07 3.9647017e-07]
 [9.9993575e-01 1.4851777e-05 4.9332397e-05]
 [7.9674250e-01 2.0216173e-01 1.0957303e-03]
 [9.9938309e-01 2.3120522e-04 3.8564223e-04]
 [9.8693138e-01 5.5059884e-04 1.2518034e-02]
 [9.9978894e-01 1.2809091e-05 1.9833197e-04]
 [2.8711563e-01 3.9585155e-02 6.7329919e-01]
 [9.9985015e-01 8.0273581e-05 6.9585039e-05]
 [9.9988723e-01 2.2379285e-05 9.0327361e-05]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[3.43451858e-01 6.44285321e-01 1.22627867e-02]
 [9.99969006e-01 1.87370915e-05 1.23323325e-05]
 [9.99792635e-01 3.58198258e-06 2.03779549e-04]
 [9.99836922e-01 4.35184775e-05 1.19553923e-04]
 [6.51590288e-01 1.93367198e-01 1.55042440e-01]
 [9.99996424e-01 7.31756643e-07 2.89943819e-06]
 [9.99999881e-01 1.38466225e-08 8.80543354e-08]
 [9.99989986e-01 6.46665239e-06 3.57675276e-06]
 [2.35446682e-03 5.49120963e-01 4.48524535e-01]
 [9.26676452e-01 3.71459522e-04 7.29520395e-02]
 [9.99993563e-01 1.89290574e-06 4.55663485e-06]
 [1.07570807e-03 1.13126938e-03 9.97793078e-01]
 [9.99342620e-01 2.86815572e-04 3.70556518e-04]
 [9.99934793e-01 8.60687760e-06 5.66509916e-05]
 [9.99697089e-01 3.91374961e-05 2.63900758e-04]
 [9.99934912e-01 3.23054992e-05 3.27298185e-05]
 [9.99956608e-01 2.24520045e-05 2.10377493e-05]
 [9.99998093e-01 4.57094217e-07 1.37339066e-06]
 [9.99873400e-01 3.44197178e-05 9.21938481e-05]
 [9.99992728e-01 5.63553328e-08 7.31586852e-06]
 [9.99941945e-01 1.27236290e-05 4.52755849e-05]
 [1.55358424e-03 9.96348977e-01 2.09746277e-03]
 [9.99973655e-01 1.43391644e-05 1.19932583e-05]
 [9.99875307e-01 1.13423841e-04 1.11625168e-05]
 [9.99992132e-01 2.36970141e-06 5.46062256e-06]
 [9.99802887e-01 9.89588152e-05 9.82443526e-05]
 [2.14528642e-04 6.66397437e-02 9.33145761e-01]
 [9.17720273e-02 6.40631467e-03 9.01821673e-01]
 [9.99965906e-01 1.50239312e-05 1.91026720e-05]
 [9.99615669e-01 4.38051211e-05 3.40475090e-04]
 [9.99684334e-01 8.00587441e-05 2.35637897e-04]
 [9.99009371e-01 4.18625132e-04 5.71963552e-04]]"
"tf.Tensor(
[[0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[1.10578341e-02 9.41430211e-01 4.75119799e-02]
 [6.01562619e-01 3.99461045e-04 3.98037910e-01]
 [9.95294511e-01 3.30498512e-03 1.40051148e-03]
 [9.95276690e-01 3.66107561e-04 4.35715960e-03]
 [9.99885321e-01 1.03609535e-04 1.10426645e-05]
 [9.99993324e-01 3.95799998e-06 2.78314951e-06]
 [9.99844074e-01 8.11190039e-05 7.47693921e-05]
 [9.99981761e-01 2.08629035e-06 1.61075932e-05]
 [9.99990821e-01 2.29021316e-06 6.97041241e-06]
 [1.06060746e-04 1.85727410e-03 9.98036683e-01]
 [7.83905923e-01 1.87626272e-01 2.84677967e-02]
 [9.99977112e-01 2.31058402e-06 2.06296500e-05]
 [3.82745318e-04 9.88154054e-01 1.14632025e-02]
 [9.99970913e-01 3.29072236e-06 2.57217453e-05]
 [9.28867221e-01 6.18052818e-02 9.32756998e-03]
 [9.97361839e-01 2.44468241e-03 1.93402622e-04]
 [9.99835491e-01 2.87449111e-05 1.35790222e-04]
 [1.93938702e-01 1.51195936e-02 7.90941656e-01]
 [9.99410748e-01 3.22011532e-04 2.67272786e-04]
 [2.80458033e-01 4.96004760e-01 2.23537222e-01]
 [6.26242661e-04 7.11383938e-04 9.98662353e-01]
 [4.08126693e-03 3.96874577e-01 5.99044144e-01]
 [9.99688864e-01 9.98245832e-06 3.01199470e-04]
 [9.88265514e-01 6.81357365e-03 4.92090778e-03]
 [9.89713430e-01 9.67286993e-03 6.13771437e-04]
 [9.99999642e-01 8.11616800e-08 2.47617550e-07]
 [9.97515440e-01 4.32226982e-04 2.05226266e-03]
 [9.99662280e-01 1.70729749e-04 1.66917234e-04]
 [9.99363482e-01 2.93180434e-04 3.43344349e-04]
 [9.53694165e-01 3.12215928e-02 1.50842797e-02]
 [9.99706924e-01 9.86259911e-05 1.94337903e-04]
 [9.99957681e-01 2.18814967e-05 2.03309537e-05]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[9.99772966e-01 6.25987377e-05 1.64417841e-04]
 [9.99895334e-01 5.17706903e-05 5.28878700e-05]
 [9.99670863e-01 2.29248908e-04 9.98296891e-05]
 [9.99872088e-01 1.01501442e-04 2.63703278e-05]
 [9.99995470e-01 2.32532693e-06 2.19006188e-06]
 [9.88825142e-01 1.04638441e-02 7.11012224e-04]
 [9.99402046e-01 1.14459457e-04 4.83510143e-04]
 [9.99992490e-01 1.25315819e-06 6.22141897e-06]
 [9.99951243e-01 4.21069444e-06 4.45607620e-05]
 [9.99637604e-01 3.16568767e-04 4.58088325e-05]
 [9.96164680e-01 3.08162300e-03 7.53728615e-04]
 [9.99984026e-01 5.83382507e-06 1.01449750e-05]
 [9.99939442e-01 5.99434279e-05 6.12641315e-07]
 [9.98263992e-03 4.89403129e-01 5.00614285e-01]
 [9.99995470e-01 2.56203452e-06 1.98544581e-06]
 [6.21170461e-01 7.66390143e-03 3.71165693e-01]
 [9.99873042e-01 7.68099417e-05 5.02333496e-05]
 [9.99995589e-01 2.51978486e-06 1.95715302e-06]
 [6.77732468e-01 2.62886375e-01 5.93811348e-02]
 [9.98481095e-01 3.41474108e-04 1.17739325e-03]
 [9.99951720e-01 2.59557128e-05 2.22702711e-05]
 [9.98968720e-01 3.18477105e-04 7.12872017e-04]
 [9.99999762e-01 1.03794457e-08 2.25931473e-07]
 [5.13920635e-02 9.47459996e-01 1.14802842e-03]
 [9.99981284e-01 7.72952080e-06 1.09356706e-05]
 [9.99932766e-01 1.09587863e-05 5.62809801e-05]
 [5.81615511e-03 1.16132222e-01 8.78051579e-01]
 [9.99770701e-01 1.26565210e-04 1.02728045e-04]
 [1.45348400e-04 2.48315949e-02 9.75023091e-01]
 [9.99921560e-01 2.50080757e-05 5.33632774e-05]
 [9.55553055e-01 3.62155661e-02 8.23141355e-03]
 [9.99990821e-01 2.22863400e-06 6.90771822e-06]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[9.99982715e-01 1.50115093e-05 2.31037893e-06]
 [9.99735534e-01 1.27258740e-04 1.37178926e-04]
 [9.95416284e-01 6.74956536e-04 3.90875060e-03]
 [9.98301089e-01 6.80999889e-04 1.01798773e-03]
 [9.99997735e-01 8.03234855e-07 1.48946765e-06]
 [1.17098587e-02 4.52172697e-01 5.36117435e-01]
 [9.99982238e-01 5.73903890e-06 1.20238465e-05]
 [9.99928713e-01 6.00432804e-06 6.53062452e-05]
 [9.99899149e-01 5.70284374e-06 9.51078837e-05]
 [9.99920249e-01 1.50243486e-05 6.47716588e-05]
 [9.99998331e-01 2.18969973e-07 1.43356829e-06]
 [9.97551739e-01 1.55041390e-03 8.97855556e-04]
 [9.98538375e-01 3.09600553e-04 1.15204684e-03]
 [9.99944687e-01 2.43501072e-05 3.09690076e-05]
 [9.99922276e-01 3.31324263e-05 4.46079430e-05]
 [9.99998808e-01 9.97997972e-07 2.37214209e-07]
 [9.99175608e-01 9.83157734e-05 7.26075610e-04]
 [9.99995232e-01 9.05611273e-07 3.82511598e-06]
 [9.99950767e-01 2.85159217e-06 4.63797369e-05]
 [7.19576655e-03 9.79419649e-01 1.33845769e-02]
 [9.99890208e-01 5.60838307e-05 5.36454063e-05]
 [9.99706209e-01 1.45313854e-04 1.48499763e-04]
 [9.99614477e-01 2.51893274e-04 1.33634792e-04]
 [9.99913812e-01 4.20281176e-05 4.40708063e-05]
 [9.99996543e-01 8.66691664e-07 2.60233378e-06]
 [9.99966979e-01 9.23386506e-06 2.38242537e-05]
 [9.99887109e-01 8.55625549e-05 2.72368197e-05]
 [9.97512817e-01 2.10045744e-03 3.86745960e-04]
 [9.99925375e-01 2.17068045e-05 5.28674282e-05]
 [9.99616265e-01 1.19166049e-04 2.64554721e-04]
 [9.99936700e-01 4.18346099e-05 2.13987187e-05]
 [9.99884605e-01 3.49637412e-05 8.04147348e-05]]"
"tf.Tensor(
[[0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[4.7497270e-03 8.8669434e-02 9.0658087e-01]
 [9.9947232e-01 1.8357302e-04 3.4413129e-04]
 [9.9945551e-01 3.3010743e-04 2.1428837e-04]
 [9.9836022e-01 2.6389807e-05 1.6134067e-03]
 [9.9983156e-01 6.4788114e-06 1.6198853e-04]
 [9.7861850e-01 8.1918593e-03 1.3189677e-02]
 [9.9997389e-01 2.5006355e-05 1.0537630e-06]
 [9.9998200e-01 8.3700070e-06 9.6529757e-06]
 [9.5158023e-01 4.1745573e-02 6.6741779e-03]
 [9.9999893e-01 2.2231339e-07 8.2588178e-07]
 [9.9999893e-01 2.6542475e-07 8.4568154e-07]
 [4.2251986e-01 4.9245977e-01 8.5020401e-02]
 [2.2442280e-03 6.0713208e-01 3.9062372e-01]
 [8.4901839e-01 1.1429570e-02 1.3955213e-01]
 [9.9997282e-01 1.3497494e-05 1.3670840e-05]
 [9.9991024e-01 3.0915595e-05 5.8828737e-05]
 [9.9775785e-01 8.0881949e-04 1.4333348e-03]
 [9.9990582e-01 1.4803157e-05 7.9344063e-05]
 [9.9989831e-01 2.5750016e-05 7.5972835e-05]
 [9.9932325e-01 4.4809029e-04 2.2871941e-04]
 [9.5856309e-01 3.7734337e-02 3.7025393e-03]
 [9.9998605e-01 3.4958537e-06 1.0444298e-05]
 [9.9997675e-01 6.9308412e-06 1.6329479e-05]
 [9.9953997e-01 3.3805936e-04 1.2199978e-04]
 [9.9994206e-01 5.2052681e-05 5.8466744e-06]
 [9.9987996e-01 2.9270711e-06 1.1703389e-04]
 [4.6599734e-01 4.1664279e-01 1.1735982e-01]
 [9.9997175e-01 1.1144743e-05 1.7157332e-05]
 [9.9994802e-01 2.5476467e-05 2.6501568e-05]
 [9.9999356e-01 5.0507538e-06 1.4108368e-06]
 [1.4741375e-03 6.3982069e-02 9.3454379e-01]
 [9.9948514e-01 3.4540836e-04 1.6947355e-04]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[9.99575198e-01 2.42796799e-04 1.81928976e-04]
 [9.99987960e-01 4.62114167e-06 7.35307276e-06]
 [9.99987125e-01 3.67207605e-07 1.24701719e-05]
 [9.99909997e-01 5.02680778e-05 3.96996184e-05]
 [9.99932170e-01 1.99035439e-05 4.79590599e-05]
 [9.99934912e-01 4.17837600e-06 6.09056478e-05]
 [9.99863505e-01 6.02670843e-05 7.61630072e-05]
 [9.80907857e-01 1.55430776e-03 1.75378602e-02]
 [9.99997497e-01 1.62062997e-06 8.48515981e-07]
 [1.87992100e-02 9.70200300e-01 1.10004693e-02]
 [1.77008823e-01 4.39457387e-01 3.83533776e-01]
 [9.99755204e-01 9.30631722e-05 1.51701024e-04]
 [9.99963760e-01 1.86509733e-05 1.76236117e-05]
 [3.74171078e-01 5.90235293e-01 3.55936140e-02]
 [3.56471017e-02 1.55457137e-02 9.48807120e-01]
 [9.99998450e-01 4.52381698e-07 1.08596510e-06]
 [9.99976993e-01 1.16384463e-05 1.12854905e-05]
 [1.29141542e-03 8.62279356e-01 1.36429250e-01]
 [9.99907851e-01 8.78668579e-05 4.30155251e-06]
 [9.99554813e-01 3.27715126e-04 1.17428986e-04]
 [9.61735606e-01 3.81643623e-02 1.00062571e-04]
 [9.99792159e-01 1.19612093e-06 2.06608092e-04]
 [8.12736630e-01 1.86553076e-01 7.10310356e-04]
 [9.97167170e-01 3.40561266e-04 2.49224762e-03]
 [9.99915719e-01 3.95813695e-05 4.47392995e-05]
 [9.99960899e-01 2.23855895e-05 1.66683185e-05]
 [2.76801791e-02 9.70913172e-01 1.40673132e-03]
 [9.99950051e-01 9.26643588e-06 4.05922619e-05]
 [9.99960899e-01 1.18615562e-05 2.71500812e-05]
 [9.99279797e-01 2.24205742e-05 6.97771320e-04]
 [9.99920368e-01 3.76343269e-05 4.19313474e-05]
 [9.99973655e-01 2.26524080e-05 3.70031307e-06]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [0. 0. 1.]], shape=(32, 3), dtype=float32)","[[9.98458147e-01 1.48926384e-03 5.25828364e-05]
 [9.99981999e-01 1.47056444e-05 3.32012542e-06]
 [9.99928474e-01 2.60310608e-05 4.55589798e-05]
 [9.99946833e-01 1.75236210e-06 5.14069616e-05]
 [5.02910465e-03 9.72637117e-01 2.23337542e-02]
 [9.99975562e-01 8.74545731e-06 1.57401137e-05]
 [9.98811960e-01 1.15475676e-03 3.33342177e-05]
 [9.99988675e-01 1.33880906e-06 1.00357829e-05]
 [3.13431519e-04 9.92176831e-01 7.50973402e-03]
 [9.81871504e-03 2.81066626e-01 7.09114671e-01]
 [9.99298096e-01 1.94287986e-05 6.82421261e-04]
 [9.99997973e-01 3.86901064e-07 1.61283072e-06]
 [4.31872196e-02 7.49884307e-01 2.06928536e-01]
 [9.99940038e-01 1.26617615e-05 4.73343352e-05]
 [9.99989867e-01 2.80304562e-06 7.28970326e-06]
 [9.95347679e-01 3.14207631e-03 1.51020871e-03]
 [9.99440134e-01 3.22802021e-04 2.37038621e-04]
 [9.96569514e-01 2.48473443e-05 3.40565830e-03]
 [9.94544744e-01 2.21353097e-04 5.23391971e-03]
 [9.99819577e-01 9.84589060e-05 8.19902634e-05]
 [4.63962890e-02 6.96209550e-01 2.57394165e-01]
 [9.99915600e-01 5.39848297e-05 3.03587949e-05]
 [7.09542096e-01 1.17834732e-02 2.78674453e-01]
 [9.99761760e-01 2.40513350e-06 2.35824962e-04]
 [9.99284565e-01 3.90815403e-04 3.24630761e-04]
 [3.28137376e-03 9.46222961e-01 5.04956581e-02]
 [9.95683074e-01 6.56794582e-04 3.66013520e-03]
 [9.99998569e-01 1.44137630e-07 1.35311768e-06]
 [9.99879956e-01 2.81539706e-05 9.18571750e-05]
 [9.99392629e-01 2.28058547e-04 3.79276345e-04]
 [1.04333833e-03 9.62360740e-01 3.65959890e-02]
 [5.80082655e-01 4.05516803e-01 1.44005073e-02]]"
"tf.Tensor(
[[1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [0. 1. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]
 [0. 0. 1.]
 [0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]], shape=(32, 3), dtype=float32)","[[9.9938464e-01 5.6991866e-04 4.5390432e-05]
 [9.9145764e-01 7.5925668e-03 9.4978488e-04]
 [9.9824643e-01 1.3934642e-03 3.6008653e-04]
 [2.7788368e-01 5.7409865e-01 1.4801760e-01]
 [2.2876648e-04 9.8298025e-01 1.6790999e-02]
 [4.4065915e-04 1.8981908e-04 9.9936956e-01]
 [9.9987483e-01 6.7946006e-05 5.7179779e-05]
 [9.9993253e-01 9.6310832e-06 5.7860281e-05]
 [9.9983537e-01 8.0668462e-05 8.3888728e-05]
 [9.9999678e-01 2.3365503e-07 3.0008812e-06]
 [9.9979955e-01 1.0243937e-04 9.8102093e-05]
 [9.9996650e-01 1.0295566e-05 2.3301447e-05]
 [9.9945694e-01 3.5533446e-04 1.8777439e-04]
 [9.9997854e-01 5.6348090e-06 1.5906666e-05]
 [9.9857903e-01 2.3557048e-04 1.1853940e-03]
 [7.7858841e-04 3.3721465e-03 9.9584925e-01]
 [9.9999166e-01 2.6984919e-06 5.6443751e-06]
 [9.2290342e-01 6.8623513e-02 8.4731178e-03]
 [9.9844676e-01 4.6865747e-04 1.0846267e-03]
 [9.6933573e-01 2.3263529e-02 7.4007362e-03]
 [9.8939821e-02 5.0980005e-02 8.5008013e-01]
 [9.9968421e-01 2.0250159e-04 1.1335858e-04]
 [2.7030734e-02 9.7022915e-01 2.7400819e-03]
 [2.7148145e-01 4.6538070e-01 2.6313782e-01]
 [9.9963808e-01 3.2948487e-04 3.2405249e-05]
 [9.9897325e-01 6.1861833e-04 4.0812031e-04]
 [9.9844652e-01 5.8146490e-04 9.7203726e-04]
 [9.9244738e-01 8.8196881e-05 7.4644466e-03]
 [9.9875140e-01 3.9621489e-05 1.2088933e-03]
 [1.8801357e-03 9.7581804e-01 2.2301836e-02]
 [9.9511647e-01 6.9725793e-05 4.8137694e-03]
 [9.9977571e-01 8.6370441e-05 1.3795258e-04]]"
